"","cutoff_index","FN_ALL"
"663",124248.7,487
"664",124226.3,488
"665",124199.72,489
"666",124178.32,490
"667",124168.75,491
"668",123768.43,492
"669",123620.94,493
"670",123480.555,494
"671",123430.72,495
"672",123427.61,496
"673",123285.92,497
"674",123206.93,498
"675",123153.4,499
"676",123121.77,500
"677",123044.83,501
"678",123006.13,502
"679",122986.72,503
"680",122799.66,504
"681",122757.414,505
"682",122703.88,506
"683",122702.33,507
"684",122611.37,508
"685",122579.07,509
"686",122542.305,510
"687",122090.72,511
"688",122023.28,512
"689",121982.51,513
"690",121926.1,514
"691",121785.086,515
"692",121687.086,516
"693",121623.875,517
"694",121547.31,517
"695",121544.6,518
"696",121517.63,519
"697",121426.57,520
"698",121391.83,521
"699",121280.914,522
"700",121256.69,523
"701",121188.49,524
"702",121100.055,525
"703",120903.305,526
"704",120881.734,527
"705",120731.695,528
"706",120622.12,529
"707",120415.445,530
"708",120315.34,531
"709",120219.016,532
"710",120212.34,533
"711",119930.41,534
"712",119813.41,535
"713",119749.766,536
"714",119691.6,537
"715",119564.09,537
"716",119434.03,538
"717",119271.78,538
"718",119138.766,539
"719",119135.27,540
"720",119015.53,541
"721",118980.66,541
"722",118773.64,542
"723",118755.6,543
"724",118621.72,544
"725",118579.85,545
"726",118483.95,546
"727",118392.85,547
"728",118388.27,548
"729",118371.94,549
"730",118349.55,550
"731",118288.7,551
"732",118266.766,552
"733",118190.195,553
"734",118156.47,554
"735",118145.05,554
"736",118138.14,555
"737",118093.805,556
"738",118078.64,557
"739",118076.49,558
"740",117890.93,559
"741",117877.47,560
"742",117764.984,561
"743",117657.84,562
"744",117458.4,563
"745",117351.13,564
"746",117215.99,565
"747",117193.78,566
"748",116983.016,567
"749",116909.836,568
"750",116905.5,568
"751",116880.28,569
"752",116481.09,569
"753",116460.68,570
"754",116444.46,571
"755",116334.41,571
"756",116312.06,572
"757",116229.25,573
"758",116143.25,573
"759",116072.805,574
"760",115985.2,575
"761",115977.734,575
"762",115973.29,576
"763",115915.25,577
"764",115915.16,578
"765",115900.1,579
"766",115879.08,580
"767",115846.99,580
"768",115797.75,581
"769",115763.47,582
"770",115759.664,583
"771",115663.17,584
"772",115637.89,585
"773",115489.87,586
"774",115415.625,587
"775",115358.78,587
"776",115242.49,588
"777",115023.92,589
"778",114814.65,590
"779",114696.55,591
"780",114620.08,592
"781",114551.3,592
"782",114535.75,592
"783",114517.1,593
"784",114409.39,593
"785",114399.766,594
"786",114347.664,595
"787",114339.125,596
"788",114212.78,596
"789",114203.42,597
"790",114202.65,598
"791",114134.84,598
"792",114130.25,599
"793",114090.41,600
"794",114058.414,601
"795",113964.48,602
"796",113749.94,603
"797",113715.164,604
"798",113704.16,605
"799",113663.59,606
"800",113660.79,607
"801",113548.93,608
"802",113372.3,608
"803",113278.79,608
"804",113083.305,608
"805",112870.12,609
"806",112850.44,610
"807",112778.14,610
"808",112772.17,611
"809",112705.39,612
"810",112613.875,613
"811",112530.95,614
"812",112390.8,615
"813",112048.234,616
"814",112038.055,616
"815",112035.164,617
"816",112016,618
"817",112011.06,619
"818",111874.59,620
"819",111861.234,621
"820",111797.984,622
