"","cutoff_index","FN_ALL"
"353",1740255100000,230
"354",1728006300000,230
"355",1664749900000,231
"356",1653428800000,231
"357",1616231400000,231
"358",1.609093e+12,232
"359",1598776900000,232
"360",1586316800000,233
"361",1576355200000,234
"362",1533398100000,235
"363",1525724900000,236
"364",1520272100000,237
"365",1517834700000,237
"366",1517500100000,238
"367",1485622100000,239
"368",1455642400000,239
"369",1404875800000,240
"370",1382971100000,241
"371",1371984900000,242
"372",1358957600000,243
"373",1345098200000,244
"374",1341935700000,245
"375",1339218500000,246
"376",1331551400000,247
"377",1305541300000,248
"378",1277538900000,249
"379",1252224100000,250
"380",1.238442e+12,251
"381",1226047900000,252
"382",1189992200000,252
"383",1188518600000,253
"384",1186546800000,254
"385",1181649300000,255
"386",1166372400000,256
"387",1153028700000,256
"388",1117614100000,257
"389",1116726100000,258
"390",1104491700000,258
"391",1098035800000,259
"392",1089230300000,260
"393",1082695940000,261
"394",1049215200000,262
"395",1048075960000,262
"396",1021006100000,262
"397",1008651800000,263
"398",976665640000,264
"399",975934850000,265
"400",947407400000,266
"401",922988640000,267
"402",920057200000,268
"403",917296450000,269
"404",913979600000,270
"405",896179900000,271
"406",8.93995e+11,272
"407",879844600000,272
"408",868025700000,273
"409",850488260000,274
"410",840172100000,275
"411",825072940000,276
"412",814877600000,277
"413",801788400000,277
"414",790916900000,278
"415",789011200000,279
"416",784968450000,279
"417",777351600000,280
"418",772734450000,281
"419",772546900000,282
"420",769315300000,283
"421",762180300000,284
"422",756437940000,284
"423",754738400000,285
"424",753871500000,286
"425",749456850000,287
"426",748573800000,288
"427",718186700000,289
"428",715937100000,290
"429",705458340000,291
"430",6.98275e+11,291
"431",6.78911e+11,291
"432",676326400000,292
"433",6.68504e+11,293
"434",648629800000,294
"435",613627700000,294
"436",611474100000,294
"437",600977050000,295
"438",600474300000,296
"439",591279550000,296
"440",589874900000,297
"441",589278800000,298
"442",588270600000,299
"443",587012700000,300
"444",571786260000,300
"445",567440640000,301
"446",566503100000,302
"447",560865100000,303
"448",558547300000,304
"449",549766200000,305
"450",549661470000,306
"451",546888600000,307
"452",533588800000,307
"453",516571270000,308
"454",516126800000,309
"455",508517450000,310
"456",507483400000,311
