"","cutoff_index","FP_ALL"
"1249",90163.375,725
"1250",90095.336,725
"1251",90051.18,724
"1252",89995.17,724
"1253",89993.984,724
"1254",89964.516,723
"1255",89853.85,723
"1256",89844.336,723
"1257",89830.08,723
"1258",89792.91,722
"1259",89741.26,722
"1260",89736.07,722
"1261",89731.11,722
"1262",89655.57,722
"1263",89590.89,722
"1264",89588.414,722
"1265",89531.875,722
"1266",89476.05,721
"1267",89397.11,720
"1268",89312.86,720
"1269",89295.61,720
"1270",89286.05,720
"1271",89205.086,720
"1272",89182.08,720
"1273",89175.02,719
"1274",89146.89,719
"1275",89090.67,719
"1276",89062.99,719
"1277",89017.19,719
"1278",88999.04,719
"1279",88969.42,719
"1280",88967.17,719
"1281",88912.74,718
"1282",88897.16,717
"1283",88857.43,717
"1284",88757.766,717
"1285",88678.35,717
"1286",88621.055,717
"1287",88607.97,717
"1288",88593.234,717
"1289",88588.23,716
"1290",88573.84,716
"1291",88456.9,716
"1292",88452.16,716
"1293",88419.39,715
"1294",88387.02,715
"1295",88381.03,715
"1296",88313.98,715
"1297",88310.24,715
"1298",88248.75,715
"1299",88178.51,715
"1300",88170.03,715
"1301",88162.945,715
"1302",88137.05,715
"1303",88126.16,715
"1304",88080.555,715
"1305",88073.72,715
"1306",87988.59,715
"1307",87954.3,715
"1308",87913.58,715
"1309",87886.16,715
"1310",87865.39,715
"1311",87854.72,715
"1312",87828.94,715
"1313",87827.89,715
"1314",87695.47,715
"1315",87668.414,715
"1316",87658.32,715
"1317",87636.56,715
"1318",87628,715
"1319",87617.234,715
"1320",87590.66,715
"1321",87588.29,715
"1322",87577.68,714
"1323",87543.74,714
"1324",87492.97,714
"1325",87469.555,714
"1326",87432.836,714
"1327",87399.09,714
"1328",87384.94,714
"1329",87370.51,714
"1330",87278.9,714
"1331",87221.92,714
"1332",87149.766,714
"1333",87031.17,714
"1334",86933.15,714
"1335",86917,713
"1336",86758.7,713
"1337",86756.17,712
"1338",86686.375,712
"1339",86638.125,712
"1340",86611.97,712
"1341",86594.234,712
"1342",86585.85,712
"1343",86578.04,712
"1344",86568.74,712
"1345",86536.984,711
"1346",86518.945,711
"1347",86436.92,711
"1348",86390.21,711
"1349",86380.79,711
"1350",86324.66,711
"1351",86317.66,711
"1352",86286.516,711
"1353",86269.11,711
"1354",86252.04,711
"1355",86230.37,711
"1356",86164.266,711
"1357",86156.125,711
"1358",86132.03,711
"1359",86093.72,710
"1360",86067.15,710
