"","cutoff_index","TN_ALL"
"545",135604.39,153
"546",135591.6,153
"547",135590.27,153
"548",135407.72,153
"549",135343.75,153
"550",135324.5,153
"551",135306.84,153
"552",135287.5,153
"553",135184.98,153
"554",135156.67,154
"555",135039.34,154
"556",135000.5,154
"557",134922.31,154
"558",134621.89,154
"559",134525.14,154
"560",134523.64,154
"561",134018.66,154
"562",133908.44,154
"563",133745.69,154
"564",133571.9,154
"565",133390.39,154
"566",133266.75,154
"567",132945.11,154
"568",132827.94,154
"569",132779.27,154
"570",132768.88,155
"571",132746.95,155
"572",132709.02,155
"573",132687.22,156
"574",132478.72,157
"575",132342.36,157
"576",132337.94,157
"577",132239.5,157
"578",132209.03,157
"579",132038.7,157
"580",132031.95,157
"581",131948.62,157
"582",131754.39,157
"583",131663.92,157
"584",131661.56,157
"585",131554.94,157
"586",131549.45,157
"587",131472.27,157
"588",131294.44,157
"589",131206.86,157
"590",131082.83,157
"591",131055.39,158
"592",130932.14,158
"593",130898.41,158
"594",130859.96,158
"595",130558.61,158
"596",130531.125,158
"597",130382.97,158
"598",130286.25,158
"599",130281.555,158
"600",130203.14,158
"601",130145.695,158
"602",130020.41,158
"603",129944.53,158
"604",129911.61,158
"605",129754.45,159
"606",129445.195,159
"607",129223.625,159
"608",129079.28,160
"609",128849.4,161
"610",128844.37,161
"611",128840.72,161
"612",128792.33,161
"613",128781.414,161
"614",128661.48,162
"615",128558.48,163
"616",128474.836,164
"617",128199.516,165
"618",128184.16,165
"619",128148.56,165
"620",127936.09,166
"621",127922.62,166
"622",127914,167
"623",127866.375,167
"624",127774.05,168
"625",127675.33,168
"626",127575.99,168
"627",127537.49,168
"628",127533.086,169
"629",127430.59,169
"630",127319.19,169
"631",127269.15,169
"632",127237.664,169
"633",126767.4,169
"634",126649.92,169
"635",126640.53,169
"636",126479.13,169
"637",126404.07,169
"638",126248.016,169
"639",126229.055,170
"640",126177.766,170
"641",126171.625,170
"642",125974.35,170
"643",125956.44,170
"644",125838.85,170
"645",125830.51,170
"646",125770.28,170
"647",125762.17,171
"648",125747.65,171
"649",125580.82,171
"650",125533.266,171
"651",125426.09,171
"652",125213.016,172
"653",125119.234,172
"654",125092.555,172
"655",125073.65,172
"656",124910.89,172
"657",124760.58,173
"658",124743.55,174
"659",124681.29,175
"660",124594.5,175
"661",124506.445,175
"662",124473.875,175
"663",124248.7,176
"664",124226.3,176
"665",124199.72,176
"666",124178.32,176
"667",124168.75,176
"668",123768.43,176
"669",123620.94,176
"670",123480.555,176
"671",123430.72,176
"672",123427.61,176
"673",123285.92,176
"674",123206.93,176
"675",123153.4,176
"676",123121.77,176
"677",123044.83,176
"678",123006.13,176
"679",122986.72,176
